iter	Passed	Remaining
0	147	147644
1	158	79064
2	168	56125
3	176	43971
4	180	35973
5	186	30825
6	189	26836
7	191	23799
8	194	21409
9	196	19488
10	199	17947
11	204	16851
12	208	15810
13	210	14843
14	212	13985
15	215	13257
16	219	12682
17	223	12171
18	225	11639
19	227	11158
20	230	10728
21	234	10430
22	239	10177
23	241	9839
24	244	9523
25	246	9237
26	250	9020
27	254	8817
28	256	8580
29	258	8360
30	260	8151
31	263	7958
32	268	7856
33	270	7693
34	273	7529
35	275	7371
36	277	7229
37	281	7138
38	286	7055
39	288	6923
40	290	6798
41	293	6697
42	298	6649
43	302	6574
44	304	6469
45	307	6371
46	309	6276
47	313	6225
48	318	6178
49	320	6091
50	322	6009
51	325	5936
52	329	5891
53	334	5853
54	336	5778
55	338	5713
56	341	5649
57	345	5616
58	349	5568
59	351	5503
60	353	5442
61	355	5381
62	357	5321
63	361	5289
64	366	5265
65	368	5212
66	370	5160
67	372	5108
68	374	5057
69	382	5085
70	385	5038
71	387	4991
72	389	4945
73	393	4929
74	397	4899
75	399	4858
76	401	4816
77	403	4775
78	406	4735
79	409	4712
80	414	4697
81	416	4660
82	418	4624
83	420	4589
84	423	4554
85	426	4532
86	430	4517
87	432	4484
88	434	4450
89	436	4418
90	440	4396
91	444	4390
92	447	4360
93	449	4329
94	451	4299
95	453	4270
96	457	4256
97	460	4236
98	463	4220
99	466	4195
100	468	4170
101	473	4165
102	477	4160
103	479	4134
104	482	4109
105	484	4084
106	488	4073
107	509	4211
108	513	4194
109	516	4177
110	521	4178
111	526	4172
112	528	4147
113	530	4123
114	532	4099
115	535	4079
116	538	4067
117	542	4052
118	544	4029
119	546	4008
120	548	3986
121	551	3965
122	554	3952
123	559	3949
124	561	3928
125	563	3908
126	565	3889
127	569	3879
128	573	3870
129	575	3851
130	577	3831
131	579	3813
132	582	3794
133	585	3784
134	589	3776
135	591	3758
136	593	3740
137	596	3724
138	598	3706
139	601	3695
140	605	3688
141	607	3671
142	609	3655
143	612	3639
144	614	3622
145	618	3619
146	621	3608
147	624	3592
148	627	3583
149	629	3567
150	634	3564
151	637	3558
152	640	3544
153	642	3529
154	644	3514
155	648	3510
156	652	3505
157	656	3498
158	673	3560
159	675	3546
160	677	3531
161	683	3534
162	687	3528
163	689	3514
164	691	3501
165	694	3487
166	698	3485
167	702	3479
168	705	3468
169	708	3457
170	712	3455
171	715	3443
172	718	3432
173	720	3419
174	722	3406
175	725	3395
176	731	3399
177	734	3391
178	736	3378
179	738	3365
180	741	3353
181	744	3346
182	748	3342
183	750	3330
184	753	3317
185	755	3305
186	757	3293
187	762	3294
188	765	3285
189	767	3273
190	770	3262
191	772	3250
192	777	3251
193	780	3242
194	782	3231
195	784	3219
196	787	3208
197	789	3196
198	792	3191
199	797	3188
200	799	3177
201	801	3166
202	803	3155
203	806	3145
204	812	3150
205	814	3139
206	816	3129
207	819	3119
208	821	3108
209	825	3106
210	828	3099
211	831	3088
212	833	3078
213	835	3068
214	837	3058
215	841	3053
216	845	3049
217	847	3039
218	849	3029
219	851	3019
